Title,Year,Rating,Votes,Synopsis,Runtime
Ke tu qiu hen,1990,7.4,602.0,"After the Sino-Japanese War, Kwei Dz, one of the family members of Japanese soldiers accepted a Chinese officer's proposal and remained in China. Later they had a daughter named Ann. The officer went to Hong Kong to work, leaving Kwei Dz and Ann in Macao. Kwei Dz, unable to communicate with her in-laws, much less accept their ways, became remorseful. Yet the worst problem she had was that Ann did not accept her as a mother. After Ann got a Master Degree in UK she went back to Hong Kong. Kwei Dz had been feeling very homesick for her mother country and decided to take Ann and return to Japan. In Japan, Ann began to understand her mother's pain because she did not understand Japan or the Japanese. Later a telegram from Canton arrived saying that Ann's grandfather had had a stroke. Upon seeing her to grandfather, Ann realized that, in spite of his now frail body, a body once tortured by Red Guards, he was so hopeful for China's future. Ann saw that China was now trying to find its own way in the midst of its self-inflicted turmoil.",1h 40m
Kiss Napoleon Goodbye,1990,5.3,48.0,Tension erupts when a couple shares their secluded hideaway with a visiting friend.,35m
You're Driving Me Crazy,1990,4.7,58.0,"In a mental ward, patients with delusions include a man thinking his parents are aliens, a murderous TV producer, and a photographer obsessed with self-help records.",1h 23m
Jamai Raja,1990,5.3,664.0,"The conflict between Mother-in-law and Daughter-in-law is very common in every family. But in our exemplary story, there is a conflict between Mother-in-law and Son-in-law. Millionaire Durgeshwari Devi is a very stubborn and proud lady. She has two sons, who are employed in her factory. Her pet daughter Rekha is studying in a medical college in Bombay. Everybody is scared of Durgeshwari in the house. In Raja's house, his mother Devki and his adopted sister Indu are staying. They are poor people. Raja is trying for a job. It is a co-incidence that he falls in love with Rekha. When this news is conveyed to Durgeshwari by her Secretary Shakti, she get enraged. Raja marries Rekha secretly. Durgeshwari has to accept Raja as her son-in-law and invites him along with her daughter to stay in her house. But it is her keen desire that Rekha must be separated from Raja and she tries her best to create hatred between them. But truth prevails. During the events that are unfolded, Durgeshwari finally accepts Raja as her son-in-law.",PG
Crossing the Line,1990,5.0,139.0,"A rich kid, with a fondness for fast bikes, is blamed when a motorcycle accident puts his best friend in a coma.",1h 34m
The Golden Boat,1990,6.2,162.0,"An absurdist odyssey through downtown Manhattan with a sweet old serial killer, a student-cum-critic-cum-musician and assorted international bohemians.",1h 23m
Shaking the Tree,1990,4.8,223.0,A crowd of guys in their 20's spend most of their time hanging out. It's Christmas time in the early 1990's and the guys all begin to think it's about time they went about their lives without the comfort of the diner.,1h 37m
All the Vermeers in New York,1990,6.4,1100.0,"Anna, a French actress, is approached by financial broker Mark in the Vermeer room of a New York gallery. However, romance does not ensue.",1h 27m
Mat,1990,7.5,199.0,Based on Maxim Gorky's novel about a woman torn between her loyalties to husband and son in the years of the Revolution.,3h 20m
Living to Die,1990,4.6,173.0,A burned-out private detective in Las Vegas gets involved in blackmail and murder.,1h 24m
Dream Trap,1990,5.4,325.0,"This boisterous comedy, set against the backdrop of college life, proves that every fantasy has a catch.",1h 30m
Vincent and Me,1990,6.2,342.0,Jo meets a mysterious art dealer who buys some of her drawings and commissions her to make more. She asks some friends for help and sets off to Amsterdam to look for the mysterious man.,1h 40m
Rodrigo D: No futuro,1990,6.9,1100.0,"Rodrigo and his friends are bored teenagers living in Medellin. Rodrigo wants to start a punk band. The youths mainly loaf around the hillside shanty towns and, for kicks, steal a bike or car, or shoot someone.",1h 33m
Deja vu,1990,7.5,1600.0,"During the Prohibition, Chicago mob send a hitman after a traitor. The only problem is that his traces lead to Odessa, and no one hitman can overcome the hardcore Soviet bureaucracy.",1h 48m
Pathar Ke Insan,1990,5.1,91.0,Balwant Rai lives with his daughter's Lata and Sita.Lata a dancer loved by Karan and Sita is a singer.They participate in a competition where Lata wins it.Sita unable to bear her defeat rushes with her car followed by Lata in another car in the mishap Lata knocks down a women named Jyothi on the road.Lata becomes mentally unstable after she is unable to save Sita.Arjun employee of Balwant Rai enters her life and gives her new lease of life.Lata marries Arjun over Karan.But is unaware that Arjun is come for revenge in their family and has teamed up with their enemies Dr Prashanth and his men Mahesh.,PG
Carobnjakov sesir,1990,8.4,793.0,"Thistle the magician and his forest friends (from _The Elm Chanted Forest (1986)_) take on an ice emperor, Mrazomor, and his horde.",1h 15m
Trasplante a la Mexicana,1990,4.5,46.0,"A womanizer goes to prison for making a minor fall in love with him, while a doctor wants to experiment with his organs.",1h 55m
Vääpeli Körmy ja marsalkan sauva,1990,5.4,718.0,"The colonel's wife's tin pints need to be cleaned up, and Sergeant First Class Körmy tasks two privates to do so.",1h 51m
Dragonfight,1990,3.2,190.0,"In a dystopian future, fighters battle to death in televised games. One fighter rebels against his role and flees, pursued by his adversary tasked with eliminating him.",1h 23m
My Cinemas,1990,5.9,397.0,Nesibe is the daughter of a poor family living in a suburb of Istanbul. She suffers violence and oppression in her family. Her only consolation is the glittering world of motion pictures.,1h 30m
When Heaven Judges,1990,7.8,65.0,"Florida (Vilma Santos) concocts a plan to avenge the abuse she suffered from devilish matriarch Octavia (Gloria Romero), only to discover that the child she used to exploit for her revenge is her own child. An oppressed housemaid has transformed herself into a wealthy and powerful business mogul through sheer dint of talent, ambition, and driving need to get revenge on her tormentors. She returns to the scene of her most abject debasement with the sole intent of humiliating the family who once made her life such a living hell. Unknowingly, she gets to exact revenge on the very person who turns out to be her own daughter by the son of her former mistress. Guillen's Kapag Langit Ang Humatol (1990) was based on a radio serial about the vindictive story of rags to riches, Florida.",2h 5m
Diving In,1990,4.9,361.0,"A high school diver fights his fear of heights and diving to get onto the team. He gets onto the team, only to find that he must dive the high platform in order to compete. His problems are further compounded by social issues out of the pool. His sister is being taken advantage of by the local tough-guy, and his coach writes him off as a loser. To aid in his overcoming of his phobia, he enlists in a previous women's olympic coach, whom he falls for and crosses the line between business and pleasure. During his training with the new coach, he experiences a bad diving accident and is warned not to dive in the championship. He ignores these warnings, and enters the competition...",1h 33m
Ding et Dong le film,1990,6.0,701.0,"Two harum-scarums who think they are good stand-up comics try to make a career in showbiz, partly for the career, partly to seduce women. They try alternatively the scene, a movie set and TV. They only succeed in making a fool of themselves.",1h 36m
Sensazioni d'amore,1990,2.6,69.0,The heart-sick Renato has to witness how his house doctor and his fiancee celebrate one orgy after another. Then he ties up with the seductive maid Claretta.,1h 30m
Fatal Sky,1990,3.7,206.0,"A swirl of flashing lights streaks through the Norwegian night. The mysterious lights set off a bizarre chain of events: unexplained disappearances, violent illnesses and slaughtered livestock. Two reporters pursue this hot U.F.O. story.",1h 32m
His Highness Abdullah,1990,7.9,1500.0,A qawwali singer passes as a Brahmin in order to infiltrate a palace and kill the king.,2h 36m
Passion,1990,6.8,46.0,"PASSION is a film diary in which Reble accompanies his unborn child through the year, following the seasons until his birth. Reble's unfamiliar chemistry generates slowly pulsating structures and colors. Micro and macroscopic imagery build a near abstract, hypnotic landscape - an intimate perception of creation.",54m
Fantozzi alla riscossa,1990,5.8,1700.0,"New misadventures of Accountant Fantozzi, including managing his nephew Ughina's film career and being juror in a Mafia trial.",1h 45m
Hunting,1990,4.5,181.0,An American tycoon goes to the Melbourne where he meets a married secretary.,1h 36m
Fatal Termination,1990,6.2,255.0,A Hong Kong police detective investigating weapons smuggling through the airport runs into a corrupt customs officer. Things escalate to a ruthless munitions smuggler kidnapping two security officers' daughter.,1h 34m
Promotion canapé,1990,4.4,560.0,"Two women who want a raise, realize that they can easily get what they want, if they sleep with their boss.",1h 32m
Chu dao gui jing,1990,5.4,154.0,"Two exceptional kung fu students leave the mainland to work for their uncle in Hong Kong. Before long the students and their cousin, delectable Asian babe Moon Lee, get mixed up in a drug smuggling ring. They decide to take on the gang in a bone crunching all-out action fest.",1h 28m
Dead Men Don't Die,1990,4.2,324.0,"A reporter investigating a drug dealing ring is murdered. Brought back to life by the voodoo spell of a cleaning woman, he goes after his killers.",1h 34m
Deadly Dancer,1990,4.9,67.0,"A police detective, investigating a string of murders of strippers at a Los Angeles night club, must race against the clock to clear his name when he's wrongfully accused of being the killer.",1h 39m
Payback,1990,5.0,113.0,An escaped con goes after a drug-dealing killer.,1h 34m
Romeo.Juliet,1990,7.1,287.0,An eccentric bag lady rescues the stray cats of Venice and puts them on a boat to set sail for the New World.,2h
La risa en vacaciones,1990,4.7,201.0,Comedians play pranks on unsuspecting people vacationing at the beach.,1h 30m
An American Summer,1990,5.4,297.0,"Divorcing Chicago parents send their only son to live with his aunt in Los Angeles for the summer, where he befriends a local, learns to surf, gets a girlfriend, and witnesses a murder.",1h 40m
Awwal Number,1990,4.5,1200.0,The DGP of Police discovers a terrorist plot hatched by a sacked cricketer to blow up the stadium where an important cricket match is in progress.,2h 30m
Genuine Risk,1990,4.8,201.0,A gambler is recruited by his friend to work as a collector for a cold and vicious mobster.,1h 30m
Tugumi,1990,6.4,168.0,"Tugumi, who lives in a small seaside town, has been in delicate health from birth. Her parents spoiled her and she is rough and selfish. However, a few people are attracted by her beauty and unique character. In this summer, Tugumi loves Kyoichi Takahashi, who works in the art gallery of the town. One of Tugumi's old boy friends, the leader of bad boys, attacks Kyoichi and kills Tugumi's pet dog from jealousy. Tugumi plans revenge.",1h 45m
Night of the Dribbler,1990,2.9,218.0,"The Watergate Plumbers, a poorly-performing college basketball team, lose their best players one by one to death and dismemberment at the hands of a mysterious masked stalker.",1h 27m
Shredder Orpheus,1990,5.1,212.0,Skateboarder named Orpheus and friends go to Hell to stop television signals that are brainwashing America.,1h 28m
The Branches of the Tree,1990,7.7,873.0,Four brothers converge around an ailing father.,2h 10m
Voodoo Dawn,1990,3.4,291.0,A group of immigrant Haitian farm workers fight off an evil Haitian voodoo priest who wants to kill them and use their body parts to make up a zombie army.,1h 24m
Vaikai is Amerikos viesbucio,1990,8.0,729.0,"Rebellious Lithuanian teenagers in early 1970s are immensely influenced by Western culture, especially Radio Luxembourg, the Rolling Stones and Woodstock. After taking part in a hippie camp at the seaside, problems start to ensue.",1h 28m
Sorority Girls and the Creature from Hell,1990,3.4,236.0,"A group of sorority girls go up to a cabin in the woods accompanied by some boys. To their dismay, there is an escaped convict on the loose as well as the uncle of one of the girls. It's too bad that Uncle Ray is possessed by an Indian spirit turning him into a monster with a need for human blood.",1h 25m
Deceit,1990,5.0,783.0,"Two outer-space aliens visit Earth with the intention of blowing it up, but they meet a hot blonde and decide to postpone the planet's destruction in order to try to score with her.",1h 30m
Verso sera,1990,6.4,281.0,"Professor Ludovico Bruschi is an elderly Communist whose desire is that of living in an orderly and socially just State. But disorder is just about to break into his life, first of all in the shape of his granddaughter Papere and then in that of Papere's mother Stella, his son's companion. The relationship between Oliviero, Bruschi's son, and Stella has come to an end perhaps because of the extreme youth of the two lovers. Now Professor Bruschi is obliged to come to terms with the gloomy, ignorant, offended Stella whose head is full of false and destructive ideals and who disturbs his way of living out daily life. The professor loses his patience and Stella leaves. He looks for her and finds her in hospital with a broken leg. The two of them begin to grow close and then, without realizing it, they come to love each other immensely. Stella's leg gets better and she goes off to look for new relationships, new experiences, while the Professor goes on waiting for her: and all this in the presence of Papere, too young to understand.",1h 39m
Red Dust,1990,6.9,718.0,A talented lady novelist falls in love with a Chinese traitor working with the Japanese during the WWII.,1h 34m
Instant Karma,1990,4.2,180.0,The writer of a bad TV series begins to rethink his life when he meets and falls in love with a beautiful actress.,1h 41m
The Gumshoe Kid,1990,5.5,94.0,Clumsy but zealous Jeff Sherman has received his first case from his family's detective agency. The case turns out to be protecting an attractive lovely witness from the mob.,1h 38m
Casanova,1990,4.5,74.0,"Bertil and his buddy Hugo gets involved in a criminal, dramatic and complicated hunt on a precious diamond, after they steal it by a mistake.",1h 16m
Cursed,1990,3.6,121.0,"When a gargoyle falls off a church during a storm, a scientist and his assistant take it back to their lab, where they are doing genetic experiments. However, the gargoyle is possessed by an evil spirit and starts to interfere in their experiments.",1h 25m
Invasion Force,1990,4.2,141.0,A film crew shooting a movie finds itself battling against terrorists trying to take over a city.,1h 23m
Zahreelay,1990,4.6,137.0,"After being critically wounded and losing his left arm, Captain Jaswant Kumar is discharged from the Indian army and goes to live with Journalist A.V. Razdan in Shanti Nagar, Bombay. Ironically, Shanti Nagar is far from peaceful as it is ruled by extortionists like Peter Gonsalves and Jaichand Khurana who work for underworld don, Taneja. Jaswant and a local taxi-driver, Raju Varma, decide to put up a fight and attempt to drive the goons away - with considerable success much to the chagrin of Taneja, who hires a killer named Raaka to do away with them. Instead they end up befriending Raaka and join forces against Taneja himself. But Jaswant and Raju will soon find out that Raaka never befriends anyone and always disposes off his enemies when they end up getting arrested for smuggling and are sentenced to two years in prison - leaving Taneja and his men to carry on with their nefarious activities.",2h 43m
Akkare Akkare Akkare,1990,7.7,1500.0,"Ramdas and Vijayan sent on a mission to the US to retrieve a priceless gold crown stolen from India. With pseudonym and a piece of torn shirt as clues, the comic duo end up with success.",2h 36m
Semya vurdalakov,1990,6.1,540.0,"A newspaper sends a young reporter into the Russian countryside to make a nice, sensationalist yarn out of some strange stories going around.",1h 22m
Return Home,1990,6.6,146.0,"A man and his wife are partners in a small business, a service station, that is stuggling to survive financially. They are visited by his brother, a divorced middle-aged man, who has taken a break from his stressful career in a big business corporation.",1h 27m
Payback,1990,4.5,97.0,A right-wing revolutionary group called Strikeforce goes on a kidnapping and murdering spree in order to obtain a lethal top secret weapon. A Vietnam Vet called Jason Shepherd is called in to track the group down.,1h 30m
Tales of a Golden Geisha,1990,6.4,349.0,"The story of a young orphan who becomes a geisha who brings luck to the men she meets, making her the target of several unscrupulous males.",1h 54m
Svampe,1990,5.1,107.0,"Three fantastic days in 9 year old Svampe's life. While his parents are busy, he goes to his happy fantasy Irrburr where he has to joint the fight against evil.",1h 19m
La discrète,1990,7.0,1100.0,"There is an author who has been dumped by his girlfriend and has no inspiration for a next novel. In an attempt to find a solution to both crises, he, along with his publisher friend, decides to seduce a young woman with the singular purpose of keeping a diary of the seduction and then dump her before publishing the book about it. Unfortunately he falls in love with her.",1h 34m
Khatarnaak,1990,4.9,122.0,"Raised in an atmosphere of hate, violence, and crime, Suraj alias Sunny is a cold-blooded killer, who mercilessly kills his victims for the right amount, usually following the instructions of his boss, Dhabariya. When Suraj is arrested, he is imprisoned and gets to meet Dr. Sangeeta Joshi. Suraj starts to fall in love with her, but Sangeeta will nothing to do with him, until he gives up his present way of life. Suraj does attempt to give up his criminal ways, only to find out that Sangeeta has married Yogesh Kothari, and his associates and those of their rival gang, Jaunpuriya, will not let him just walk away.",3h 43m
Ghar Ho To Aisa,1990,6.0,477.0,"The Kumar family consists of Ramprasad, his wife, Durga; their married son, Vijay, his wife, Sharda, their daughter, Pinky; a married daughter who lives with them, Kanchan, her husband, Bajrangi, and a son; an unmarried and unemployed son, Amar. Save for Bajrangi and Amar everyone else likes to bully and abuse Sharda and make her do all the house-work, especially Kanchan and Durga who don't even need an excuse to beat, slap her, and even burn her arm in scalding hot water. Amar finds a job with Dwarkaprasad, and falls in love with his daughter, Seema. One day Amar has to be go to Delhi, and four days later when he returns home he finds that Sharda and Pinky are missing, and Sharda's mom, Devki, is dead. He frantically searches for them and comes across their dead bodies. The question remains how did Devki die, and how were Sharda and Pinky killed?",2h 35m
Easy Kill,1990,3.8,127.0,"A bar owner/ex cop winds up in a scheme involving drug smuggling, murder, and seduction.",1h 29m
Karate Rock (The Kid with Iron Hands),1990,3.5,140.0,"Kevin Foster (Antonio Sabato Jr) is a new teen who arrived at a small town. A dance competition takes place on Kevin's first night out. He approaches the most gorgeous girl, Connie (Dorian D Field) inviting her to compete with him in the dance not knowing her already boyfriend Jeff (Andrew J Parker) is close by but Kevin keeps dancing with Connie and together win the dance comp. Jeff offers Kevin another competition in a race with their cars in what they call the Tunnel Of Death. Kevin wins again and enrages Jeff who is a black belt in Karate beats up Kevin. Kevin later meets an ex Karate champion who starts teaching Kevin martial arts. Along the way, Kevin meets Kim (Nathalie Hendrix) who befriends Kevin but secretly falls in love with Kevin. Kevin is then forced by Jeff to compete in a Karate tournament being held at Jeff's Karate school. Kevin made a bet with Jeff that the winner can have Connie and a truce will be made. Now it's time for the final showdown.",1h 30m
Eating,1990,6.2,330.0,"A group of young and middle-aged women gather for the birthday party of a friend and talk about their lives and food they cook for their husbands, boyfriends, or themselves.",1h 50m
Panakkaran,1990,6.8,414.0,"The illegitimate son of a rich man and a singer is raised by a poor drunkard. Before he can commit to the girl he loves, he wants to find out who his parents really are. Will the drunkard help him?",2h 27m
A Man Called... Rainbo,1990,4.6,212.0,"Redubbed ""comedy"" version of the early, very dated Sylvester Stallone film No Place to Hide (1970).",1h 39m
Border Shootout,1990,3.8,178.0,"Young rancher Kirby Frye is appointed deputy in a small town tyrannized by ruthless Phil Sundeen, the son of one of the founders of the town.",1h 50m
Kill Line,1990,3.9,72.0,A wrongly convicted martial artist seeks revenge for the murder of his brother's family by a gang looking for the money he was convicted of stealing.,1h 33m
Uma Escola Atrapalhada,1990,4.8,347.0,"A real-estate agency wishes to buy and demolish the traditional school Matheus Rose and use the lot to build a hotel. The proposition unleashes a feel of distrust among the school students and staff, especially with the arrival of mysterious new students.",1h 30m
Ultra Warrior,1990,2.0,878.0,"After the nuclear holocaust, one man rises from the ashes to become the leader of a ragged gang of survivors. They soon discover that their greatest challenge is yet to come; they must fight a battle for the ages against the evil minions of The Bishop.",1h 21m
The Natural History of Parking Lots,1990,7.4,82.0,"When a high school senior, Chris, gets in trouble with the West L.A. police for joy riding in stolen cars, his wealthy but neglectful dad hires Chris's older brother Lance to spend time with him and keep him out of trouble. Lance is in the underworld, running guns, so caring for Chris starts out as a good cover. Then, he warms to his brother, and the two develop a strong bond; Chris gets serious about school and starts to come out of his shell. But, will the relationship be strong enough to weather pressures from Lance's business, Chris's discovery that dad is paying Lance for the care, and Lance's enjoyment of female companionship?",1h 29m
Atishbaz,1990,3.2,86.0,"Shamsher Singh Rajput lives a poor lifestyle in British India along with his widowed mom, a sister, Asha, and makes a living through crime. He is in love with a gypsy dancer, Reshma, and wants to marry her, but has to content with her suitor, Jagga. He is arrested by the corrupt British Police, jailed, and beaten mercilessly. When the British leave India, he gets out of prison, finds out that his mother will have nothing to do with him, seeks the assistance of Vijay, locates Jagga and kills him. He returns and finds out that Asha is living a wayward life, locates her in a bar with several men, and brings her home. When Vijay shows an interest in Asha, Shamsher warns him, and their friendship ends. Vijay and Asha, in love with each other, seek the permission of Asha's mom to let them get married, are refused until such time Vijay gets a good job. Vijay gets a job as a Police Inspector and vows to fight crime. Shamsher, in the meantime, joins forces with Kewal alias K.K., then eventually kills him, takes over his crime empire, joins forces with another gangster, Tony Gonsalves, and is all set to rule the underworld. He also locates Reshma, and marries her. It is then Shamsher is confronted by Vijay - a confrontation that may lead to Shamsher's arrest and possibly the end of his criminal empire or alternatively the death of Vijay himself.",2h 45m
Stan the Flasher,1990,4.9,162.0,"The story of Stan, a misunderstood poet, who makes a living teaching English to schoolchildren while writing a screenplay on the side.",1h 7m
Al imbrator,1990,6.3,478.0,"A remake of ""scarface"",tells the turbulant world of drug dealing,damaged personal relationships,and the rise and the fall of a drug lord.",1h 55m
Sher Dil,1990,5.0,46.0,"Separated from his family, consisting of his dad, Ramkumar; mom, Mayadevi, and brother, Sanjay, Allahabad-based Prakash Saxena takes to a life of crime, calls himself Shera, but continues to search for them. He subsequently finds out that the person who knows their whereabouts is a Bombay-based male by the name of Shobhraj. He re-locates to Bombay, and this is where circumstances may force him to abandon his quest, for he will not only be arrested and held in prison, but also inadvertently jeopardize the lives of his family.",15
The Passion of Bernadette,1990,6.6,158.0,Bernadette knows she's been chosen to be the Bride of the Lord.,1h 46m
Beijo 2348/72,1990,6.7,127.0,Factory workers get fired for kissing during work hours.,1h 40m
Cop Target,1990,4.5,153.0,"Farley Wood is hired to escort a rich widow of a DEA agent and her kid to the tropical island of San Cristobal. The widow needs protection from a gang of international terrorists and her escort soon suspects that the deceased husband was involved in dirty drug dealings. While on the island, the daughter is kidnapped by a group of seedy South American thugs and held for ransom. The cop escort gets official orders to leave the case to the FBI, but he decides to his own investigating and finds that the crime may have had political motivations.",1h 29m
Aye Auto,1990,7.1,647.0,A poor auto-rickshaw driver and a girl from a rich family fall in love but are opposed by the girl's family with the sole exception of her grandfather.,2h 17m
Izzatdaar,1990,5.0,241.0,"Brahmdutt, a rich Steel Baron is falsely convicted in the murder of his best friend and business partner Premchand. When in prison, Brahmdutt finds out from sources that his son in law Indrajeet has conspired to get him caught so he can take over his empire. Brahmdutt avenges that once he is free he will take full revenge from Indrajeet. To take revenge Brahmdutt is helped by Vijay, Indrajeet's own deserted son.",2h 44m
Pierino torna a scuola,1990,5.1,270.0,"Had come of age and unemployed, Peter decides to go back to school to take the elementary school. However, his academic performance continues to be poor so much so that his grandmother to play for the votes of a report card to the football pools coupon. The grandmother with the votes of Peter will win, using the amount paid to renew their tavern, without giving any money to his nephew, who will retaliate by closing all his family in the bathrooms of the new restaurant. Eventually Peter was rejected despite the efforts of his teachers, but Peter does not seem to be over: receives, in fact, a visit to Camazzo, her neighbor and Head of the third class of the Navy, which gives him an envelope containing the fateful ""call to Arms"".",1h 36m
The Man Inside,1990,5.4,188.0,"Gunter Wallraff is a journalist seeking to expose the unethical journalism practiced by The Standard, a very popular and powerful German newspaper. He goes undercover, using forged identity papers and at great personal risk, to join their staff. Once there, he sees how they don't just report the news, but manufacture it to suit the personal political agenda of the paper's leaders.",1h 33m
Dragon Hunt,1990,3.1,243.0,"The people's private army and their crazed leader Jake, have a simple plan - take over the world. But, there are three things in their way, money and two deadly kickboxers - The Twin Dragons (Michael and Martin McNamara). Jake's devious plan has the Twin Dragons captured, drugged, and set loose on an island for a little game called ""Kill the Twins."" Outnumbered and out-gunned, the Twins spring into action turning the hunters into the hunted.",1h 30m
Dead Sleep,1990,4.7,346.0,Young nurse investigates suspicious deaths in a psychiatric ward.,1h 40m
Silent Gunpowder,1990,7.5,470.0,"When traditional Serbian populated village in Bosnia gets in the middle of two ideologies during World War II, two groups, communist and monarchist fight over the destiny of its population among each other.",1h 56m
Sword of the Bushido,1990,4.5,170.0,Richard Norton plays a Bushido-trained ex-Navy SEAL named Connors (he was in 'Nam) who ends up in the far east after investigating the whereabouts of an ancient Japanese ceremonial sword. Connors is left wondering whether the trip was such a good idea when Japanese gangsters start hassling him and his team of guerrilla fighters.,1h 44m
Ben ming nian,1990,7.3,576.0,"A semi-literate who was deprived of schooling during the Cultural Revolution, Li Huiquan, is released from labor camp. But his attempts to make good are continually thwarted. His street stall selling clothes puts him on the fringe of the black market, and he soon gets lured back into his old neighbourhood gangs. His disenchanted comrades include a nightclub chanteuse as well as an escaped convict.",1h 47m
Julia Has Two Lovers,1990,5.1,404.0,A romantic comedy-drama about a woman who takes up with a mysterious stranger after she grows tired of her current boyfriend.,1h 26m
Bad Boy,1990,6.0,36.0,"The film revolves around Bumbo who is known as the ""bad boy"" for killing his father while trying to protect his mother, as a young boy.",1h 57m
Back Stab,1990,5.2,275.0,An architect goes to bed with a seductive stranger only to awaken beside the corpse of his boss.,1h 31m
Dames galantes,1990,5.6,184.0,"Comedy set in the 16th century. Brantome is a soldier embroiled in the religious wars but more interested in women, and has many mistresses among the ladies of the royal court, although his heart belongs to just one, Victoire.",2h
Fools of Fortune,1990,5.3,262.0,A Protestant Irish family is caught up in a conflict between Irish Republicans and the British army.,1h 49m
Cellini: A Violent Life,1990,7.0,139.0,"The story of Benvenuto Cellini (1500-1571), a soldier and one of the most important craftsmen and artists of Renaissance Italy, whose life was marked by many achievements and adventures, but also crimes.",1h 58m
A Matter of Degrees,1990,5.2,125.0,"A college student living in a commune decides that he doesn't want to go on to law school. When a corporation takes over the campus radio station, he decides to disrupt the graduation ceremonies.",1h 28m
Fatal Exam,1990,3.7,504.0,A group of university students are invited by their parapsychology professor to investigate a haunted house for the weekend.,1h 54m
Bethune: The Making of a Hero,1990,6.4,431.0,"Canadian doctor Norman Bethune joins Mao's army in China, setting up field hospitals and training medics. Flashbacks show his early life, socialist beliefs, medical innovations, humanitarian work in Spain, and marital struggles.",2h 48m
Reason to Die,1990,4.9,76.0,A cop sets up his girlfriend as a target in order to trap a serial killer.,1h 27m
Future Zone,1990,3.4,834.0,Sequel to 'Future Force' has John Tucker's son traveling back in time 30 years to save his father from being killed by thugs he is currently pursuing back in 1990.,1h 22m
Herman,1990,6.1,562.0,"""Herman"", based on Lars Saabye Christensen's novel of the same name, tells the story of the young boy Herman who suddenly loses his hair and becomes bald at the age of eleven. Movie follows him through what is a very difficult period in his life, through big mood swings and irrational behaviour until he finally learns to accept himself for who he is.",1h 28m
Bananen - Skræl den før din nabo,1990,2.6,108.0,A clumsy policeman creates chaos around him and drives his boss crazy.,1h 17m
Torment,1990,4.6,106.0,"Anna Bell is a successful, wealthy but burnt out rock singer. After breaking up with her boyfriend, she retreats to the country property that she's owned for several years, but never had time to visit.",1h 30m
Baap Numbri Beta Dus Numbri,1990,6.0,405.0,A father and son are conning the whole city of Bombay.,2h 32m
